year,module,first
2010,SPS9C5,1
2010,SPS9C5,1
2010,SPS9C5,1
2010,SPS9C5,1
2010,SPS9C5,0
2010,SPS9C5,0
2010,SPS9C5,0
2010,SPS9C5,0
2010,SPS9C5,0
2010,SPS9C5,0
2010,SPS9C5,0
2010,SPS9C5,0
2010,SPS9C5,0
2010,SPS9C5,0
2010,SPS9C5,0
2010,SPS9C5,0
2010,SPS9C5,0
2010,SPS9C5,0
2010,SPS9C5,0
2010,SPS9C5,0
2010,SPS9C5,0
2010,SPS9C5,0
2010,SPS9C5,0
2010,SPS9C5,0
2010,SPS9C5,0
2010,SPS9C5,0
2010,SPS9C5,0
2010,SPS9C5,0
2010,SPS9C5,0
2010,SPS9C5,0
2010,SPS9C5,0
2010,SPS9C5,0
2010,SPS9C5,0
2010,SPS9C5,0
2010,SPS9C5,0
2010,SPS9C5,0
2010,SPS9C5,0
2010,SPS9C5,0
2010,SPS9C5,0
2010,SPS9C5,0
2010,SPS9C5,0
2010,SPS9C5,0
2010,SPS9C5,0
2010,SPS9C5,0
2010,SPS9C5,0
2010,SPS9C5,0
2010,SPS9C5,0
2010,SPS9C5,0
2010,SPS9C5,0
2010,SPS9C5,0
2010,SPS9C5,0
2010,SPS9C5,0
2010,SPS9C5,0
2010,SPS9C5,0
2010,SPS9C5,0
2010,SPS9C5,0
2010,SPS9C5,0
2010,SPS9C5,0
2010,SPS9C5,0
2010,SPS9C5,0
2010,SPS9C5,0
2011,SPS9C5,1
2011,SPS9C5,0
2011,SPS9C5,0
2011,SPS9C5,0
2011,SPS9C5,0
2011,SPS9C5,0
2011,SPS9C5,0
2011,SPS9C5,0
2011,SPS9C5,0
2011,SPS9C5,0
2011,SPS9C5,0
2011,SPS9C5,0
2011,SPS9C5,0
2011,SPS9C5,0
2011,SPS9C5,0
2011,SPS9C5,0
2011,SPS9C5,0
2011,SPS9C5,0
2011,SPS9C5,0
2011,SPS9C5,0
2011,SPS9C5,0
2011,SPS9C5,0
2011,SPS9C5,0
2011,SPS9C5,0
2011,SPS9C5,0
2011,SPS9C5,0
2011,SPS9C5,0
2011,SPS9C5,0
2011,SPS9C5,0
2011,SPS9C5,0
2011,SPS9C5,0
2011,SPS9C5,0
2011,SPS9C5,0
2011,SPS9C5,0
2011,SPS9C5,0
2011,SPS9C5,0
2011,SPS9C5,0
2011,SPS9C5,0
2011,SPS9C5,0
2011,SPS9C5,0
2011,SPS9C5,0
2011,SPS9C5,0
2011,SPS9C5,0
2011,SPS9C5,0
2011,SPS9C5,0
2011,SPS9C5,0
2011,SPS9C5,0
2011,SPS9C5,0
2011,SPS9C5,0
2011,SPS9C5,0
2011,SPS9C5,0
2011,SPS9C5,0
2011,SPS9C5,0
2011,SPS9C5,0
